"","last_name, first_name","position","league","year","age","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","in_zone_percent","swing_percent","linedrives_percent","sprint_speed","double","triple","home_run"
"76","Melendez Jr., MJ","C","AL",2023,24,0.235,0.432,0.31,0.325,0.318,0.197,93.2,16.9,11.4,49.6,69.3,26.8,49.6,47.9,25.3,27.6,29,5,16
"77","Verdugo, Alex","RF","AL",2023,27,0.278,0.417,0.322,0.331,0.34,0.139,89.2,8.8,5,37.6,57.5,22.2,53,40.9,27.1,27.3,37,5,13
"78","Yoshida, Masataka","LF","AL",2023,29,0.273,0.425,0.339,0.325,0.324,0.153,89,3.9,6.6,40.6,58.6,27.3,51.2,43.3,21.4,26.2,33,3,15
"79","Volpe, Anthony","SS","AL",2023,22,0.23,0.392,0.29,0.305,0.303,0.162,88.7,14.2,9,43,67.2,28.7,50,47.9,24.9,28.4,23,4,21
"80","Merrifield, Whit","2B","AL",2023,34,0.242,0.335,0.304,0.276,0.291,0.093,85.1,14.4,2.4,24.3,69.8,32.5,49.9,51.1,26.1,28.7,27,0,11
"81","Robert Jr., Luis","CF","AL",2023,25,0.259,0.515,0.358,0.347,0.312,0.255,89.1,16.1,15.4,42.3,78.1,40.5,47.3,58.3,24.7,28.7,36,1,38
"82","Arenado, Nolan","3B","NL",2023,32,0.266,0.435,0.327,0.32,0.316,0.17,88.8,16.9,7.3,38.1,65.5,34.1,45.9,48.5,24,24.9,26,2,26
"83","Jung, Josh","3B","AL",2023,25,0.26,0.482,0.334,0.337,0.309,0.222,91.8,15,11.9,47.4,72.7,32.9,47.6,51.8,29.5,26.8,25,1,23
"84","Paredes, Isaac","3B","AL",2023,24,0.23,0.369,0.362,0.315,0.335,0.139,86.9,22.2,5.9,28.5,66,28.3,46.1,45.6,24.9,26.1,24,0,31
"85","Adames, Willy","SS","NL",2023,27,0.24,0.436,0.311,0.335,0.332,0.196,87.4,18.2,12.4,36.5,71.5,31.8,45.8,50,22.3,27.6,29,2,24
"86","Santander, Anthony","RF","AL",2023,28,0.237,0.426,0.34,0.319,0.309,0.189,90.6,20.2,10.2,46,66.9,34.4,45,49,19.6,26.7,41,1,28
"87","Suarez, Eugenio","3B","AL",2023,31,0.223,0.419,0.313,0.324,0.318,0.196,90.3,18.9,13.2,43,65.7,23.6,49.8,44.5,25.1,26.4,29,0,22
"88","Rodriguez, Julio","CF","AL",2023,22,0.274,0.475,0.347,0.345,0.332,0.201,92.7,8.5,11.9,52,72.1,37.4,47.6,53.9,23.3,29.6,37,2,32
"89","Nootbaar, Lars","CF","NL",2023,25,0.265,0.436,0.344,0.356,0.372,0.171,89.1,7.2,8.8,37.8,53.4,17.1,50.7,35.5,22.4,27.8,23,1,14
"90","Grisham, Trent","CF","NL",2023,26,0.218,0.396,0.299,0.322,0.332,0.178,90.3,18.3,11.9,40,60.3,21.6,51.6,41.6,23.8,27.7,31,1,13
"91","Machado, Manny","3B","NL",2023,30,0.254,0.458,0.334,0.332,0.318,0.204,91,15,10.5,45.9,69.5,29.3,49.6,49.3,22,26.2,21,0,30
"92","Meneses, Joey","DH","NL",2023,31,0.247,0.361,0.314,0.288,0.295,0.115,89.4,9.4,5.4,41.7,64.7,31.5,48.5,47.6,25.8,25.6,36,1,13
"93","Straw, Myles","CF","AL",2023,28,0.239,0.3,0.268,0.272,0.303,0.061,86.3,9.4,0.5,23.3,60,23.9,55.8,44,25.5,29.2,18,3,1
